id,user_id,combinatoric_id,survey_id,winner_id,loser_id,tie_score,voted_at,ip_address,user_agent,is_valid,notes,created_at,updated_at
1,1,34,11,21,22,,2025-10-18 21:00:07,,,1,,2025-10-18 21:00:07,2025-10-18 21:00:07
2,1,35,11,23,21,,2025-10-20 21:44:41,,,1,,2025-10-20 21:44:41,2025-10-20 21:44:41
3,1,36,11,24,21,,2025-10-20 21:55:55,,,1,,2025-10-20 21:55:55,2025-10-20 21:55:55
4,1,37,11,25,21,,2025-10-20 22:01:20,,,1,,2025-10-20 22:01:20,2025-10-20 22:01:20
5,1,38,11,21,26,,2025-10-20 22:03:03,,,1,,2025-10-20 22:03:03,2025-10-20 22:03:03
6,1,39,11,23,22,,2025-10-20 22:03:22,,,1,,2025-10-20 22:03:22,2025-10-20 22:03:22
7,1,40,11,24,22,,2025-10-21 03:14:52,,,1,,2025-10-21 03:14:52,2025-10-21 03:14:52
8,1,41,11,22,25,,2025-10-21 03:15:13,,,1,,2025-10-21 03:15:13,2025-10-21 03:15:13
9,1,42,11,22,26,,2025-10-21 03:15:19,,,1,,2025-10-21 03:15:19,2025-10-21 03:15:19
10,1,43,11,24,23,,2025-10-21 03:15:27,,,1,,2025-10-21 03:15:27,2025-10-21 03:15:27
11,1,44,11,23,25,,2025-10-21 03:15:30,,,1,,2025-10-21 03:15:30,2025-10-21 03:15:30
12,1,45,11,23,26,,2025-10-21 03:15:32,,,1,,2025-10-21 03:15:32,2025-10-21 03:15:32
13,1,46,11,24,25,,2025-10-21 03:15:34,,,1,,2025-10-21 03:15:34,2025-10-21 03:15:34
14,1,47,11,24,26,,2025-10-21 03:15:36,,,1,,2025-10-21 03:15:36,2025-10-21 03:15:36
15,1,48,11,25,26,,2025-10-21 03:15:40,,,1,,2025-10-21 03:15:40,2025-10-21 03:15:40
16,1,19,10,21,22,,2025-10-21 19:29:31,,,1,,2025-10-21 19:29:31,2025-10-21 19:29:31
17,1,20,10,23,21,,2025-10-21 19:29:36,,,1,,2025-10-21 19:29:36,2025-10-21 19:29:36
18,1,21,10,24,21,,2025-10-21 19:29:41,,,1,,2025-10-21 19:29:41,2025-10-21 19:29:41
